Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,NOAA,162.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
1,NJ2BS,146.835000,-,0.600000,Tone,151.4,88.5,023,NN,FM,5.00,,,,,,
2,2M CALL,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,W2KBF,145.680000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,70CM CA,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,N2ACF,146.460000,+,1.000000,Tone,77.0,88.5,023,NN,FM,5.00,,,,,,
6,W2AKR,146.790000,-,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
