Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
0,FRS1,462.562500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
1,FRS2,462.587500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
2,FRS3,462.612500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
3,FRS4,462.637500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
4,FRS5,462.662500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
5,FRS6,462.687500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
6,FRS7,462.712500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
7,FRS8,467.562500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
8,FRS9,467.587500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
9,FRS10,467.612500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
10,FRS11,467.637500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
11,FRS12,467.662500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
12,FRS13,467.687500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
13,FRS14,467.712500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
14,GMRS1,462.550000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
15,GMRS2,462.575000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
16,GMRS3,462.600000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
17,GMRS4,462.625000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
18,GMRS5,462.650000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
19,GMRS6,462.675000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
20,GMRS7,462.700000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
21,GMRS8,462.725000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
22,SPLEX2,	146.580,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
23,SPLEX3,	147.420,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
24,SPLEX4,	147.450,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
25,SPLEX5,	147.480,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
26,SPLEX6,	147.510,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
27,SPLEX7,	147.540,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
28,SPLEX8,	147.570,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
29,WX1PA7,162.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
30,WX2PA1,162.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
31,WX3PA4,162.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
32,WX4PA2,162.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
33,WX5PA3,162.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
34,WX6PA5,162.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
35,WX7PA6,162.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
36,2m Call,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
37,70cm Call,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
38,SPLEX1,	146.550,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
39,WX8,161.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
40,WX9,161.775000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
41,N2ION,443.60000,+,5.00000,Tone,110.9,88.5,023,NN,FM,5,Briarcliff Manor,
42,KC2EFN,447.32500,-,5.00000,Tone,107.2,107.2,023,NN,FM,5,Whitestone,
43,KC2JES,441.25000,+,5.00000,Tone,127.3,88.5,023,NN,FM,5,Lyndhurst,
44,W2FCL,442.55000,+,5.00000,Tone,141.3,88.5,023,NN,FM,5,Bloomfield,
45,WB2FTX,147.13500,+,0.60000,Tone,141.3,88.5,023,NN,FM,5,Butler,
46,WA2IKL,448.83000,-,5.00000,Tone,141.3,88.5,023,NN,FM,5,Kinnelon,
47,W2PQG,146.70000,-,0.60000,Tone,141.3,141.3,023,NN,FM,5,Wanaque,
48,W2PQG,444.15000,+,5.00000,Tone,141.3,88.5,023,NN,FM,5,Wanaque,
49,KD2EQY,449.67500,-,5.00000,,88.5,88.5,023,NN,FM,5,Thiells,
50,K2DCG,147.21000,+,0.60000,Tone,88.5,88.5,023,NN,FM,5,North Arlington,
51,W2CMA,145.23000,-,0.60000,Tone,114.8,88.5,023,NN,FM,5,Bronx,
52,KB2NGU,440.20000,+,5.00000,Tone,88.5,88.5,023,NN,FM,5,Bronx,
53,N2NSA,443.30000,+,5.00000,Tone,123.0,123.0,023,NN,FM,5,Bronx,
54,N2HBA,447.62500,-,5.00000,Tone,136.5,88.5,023,NN,FM,5,Bronx,
55,N2FMC,145.11000,-,0.60000,Tone,123.0,88.5,023,NN,FM,5,Chappaqua,
56,K2UTB,442.85000,+,5.00000,Tone,118.8,88.5,023,NN,FM,5,Dobbs Ferry,
57,N2JTI,147.10500,+,0.60000,Tone,114.8,88.5,023,NN,FM,5,"Harriman, Arden Mt",
58,W2LGB,447.87500,-,5.00000,Tone,114.8,88.5,023,NN,FM,5,Haverstraw,
59,W2NYW,146.67000,-,0.60000,Tone,156.7,156.7,023,NN,FM,5,Lake Peekskill,
60,KB2CQE,449.92500,-,5.00000,Tone,179.9,88.5,023,NN,FM,5,Lake Peekskill,
61,N2JDW,147.15000,+,0.60000,Tone,136.5,123.0,023,NN,FM,5,"Manhattan, Washington Heights",
62,N2ION,444.05000,+,5.00000,Tone,114.8,114.8,023,NN,FM,5,Manhattan,
63,K2UQT,145.49500,-,0.60000,,88.5,88.5,023,NN,FM,5,Mount Vernon,
64,K2XD,440.65000,+,5.00000,Tone,114.8,114.8,023,NN,FM,5,Valhalla,
65,KC2EHA,147.53500,split,,Tone,123.0,88.5,023,NN,FM,5,Nanuet,
66,WB2RRA,147.16500,+,0.60000,Tone,114.8,88.5,023,NN,FM,5,Orangetown,
67,N2ACF,443.85000,+,5.00000,Tone,114.8,77.0,023,NN,FM,5,Orangetown,
68,N2JTI,444.00000,+,5.00000,,88.5,88.5,023,NN,FM,5,Orangeburg,
69,NJ2BS,146.83500,-,0.60000,Tone,151.4,88.5,023,NN,FM,5,Pearl River,
70,N2ACF,146.46000,split,,Tone,77.0,88.5,023,NN,FM,5,Pomona,
71,N2ACF,444.45000,+,5.00000,Tone,114.8,88.5,023,NN,FM,5,Pomona,
72,N2CBH,448.72500,-,5.00000,Tone,107.2,88.5,023,NN,FM,5,Putnam Valley,
73,N2ACF,444.85000,+,5.00000,Tone,114.8,88.5,023,NN,FM,5,Sloatsburg,
74,WB2ZII,147.06000,+,0.60000,Tone,114.8,88.5,023,NN,FM,5,Valhalla,
75,WB2ZII,447.47500,-,5.00000,Tone,114.8,88.5,023,NN,FM,5,Valhalla,
76,W2YRC,146.86500,-,0.60000,Tone,110.9,110.9,023,NN,FM,5,Yonkers,
77,K2JQB,146.91000,-,0.60000,Tone,114.8,88.5,023,NN,FM,5,Yonkers,
78,W2YRC,440.15000,+,5.00000,Tone,88.5,88.5,023,NN,FM,5,Yonkers,
79,N2QNB,445.42500,-,5.00000,Tone,136.5,136.5,023,NN,FM,5,Yonkers,
